ID_ASO;EAN;NAZWA;ID_WALUTA;CENA_NETTO;VAT;ID_JED;ID_PROD
0153012;59000850;ZUPA STANDARD BARSZCZ BIAŁY 66g WINIARY.;PLN;2,3;0;SZT;NESTLE
0201000;59011194;BAT. PAWEŁEK TOFFI 45g WEDEL.;PLN;1,21;23;SZT;WEDEL
0201000A;59011194;08 BAT. PAWEŁEK TOFFI 45g WEDEL.;PLN;0,79;23;SZT;WEDEL
0201001;59011194;BAT. PAWEŁEK TOFFI (120) 45g WEDEL.;PLN;1,22;23;SZT;WEDEL
0201001A;59011194;bat. pawełek mix 45g WEDEL.;PLN;10;23;SZT;WEDEL
0201002;59060956;12 BAT. PAWEŁEK CAFFE LATTE 45g WEDEL.;PLN;0,86;23;SZT;WEDEL
0201003;59025603;BAT. PAWEŁEK ŚMIETANKOWY 45g WEDEL.;PLN;1,69;23;SZT;WEDEL
0201003A;59025603;12 BAT. PAWEŁEK ŚMIETANKOWY 45g WEDEL.;PLN;0,76;23;SZT;WEDEL
0201005;59032328;BAT. PAWEŁEK ADVOCAT 45g WEDEL.;PLN;1,69;23;SZT;WEDEL
0201005A;59032328;12 BAT. PAWEŁEK ADVOCAT 45g WEDEL.;PLN;0,76;23;SZT;WEDEL
0201006;59033257;BAT. PAWEŁEK AMARETTO 45g WEDEL.;PLN;1,22;23;SZT;WEDEL
0201007;59038733;BAT. PAWEŁEK CZEKOLADOWY 45g WEDEL.;PLN;1,22;23;SZT;WEDEL
0201008;59042853;BAT. PAWEŁEK WIŚNIOWY 45g WEDEL.;PLN;1,22;23;SZT;WEDEL
0201009;59073000;BAT. PAWEŁEK ROSE Z TRUSK. 45g WEDEL.;PLN;1,22;23;SZT;WEDEL
0201010;59078203;BAT. PAWEŁEK DUO - GORZKI KARMEL 45g WEDEL.;PLN;1,35;23;SZT;WEDEL
0201011;59085928;BAT. PAWEŁEK DUO - KOKOS 44g WEDEL.;PLN;1,22;23;SZT;WEDEL
0201012;59085935;BAT. PAWEŁEK DUO - PEANUT 44g WEDEL.;PLN;1,35;23;SZT;WEDEL
0201013;59094241;BAT. PAWEŁEK PIERNIKOWY 45g WEDEL.;PLN;1,52;23;SZT;WEDEL
0201014;59096238;BAT. PAWEŁEK SŁONY KARMEL 45g WEDEL.;PLN;1,89;23;SZT;WEDEL
0201021;59042983;BAT. PAWEŁEK mini TOFFI ***EURO 56g WEDEL.;PLN;1,42;23;SZT;WEDEL
0201051;59042396;BAT. WW 47g WEDEL.;PLN;1,65;0;SZT;WEDEL
0201052;59042778;BAT. WW w białej czek. 45g WEDEL.;PLN;1,27;23;SZT;WEDEL
0201053;59158822;10 BAT. WW dark 47g WEDEL.;PLN;1,16;0;SZT;WEDEL
0201054;59019169;BAT. WW peanut butter 47g WEDEL.;PLN;2,14;0;SZT;WEDEL
0201055;59015886;BAT. WW kokos 47g WEDEL.;PLN;1,88;0;SZT;WEDEL
0201081;59015886;BAT. BAJECZNY 40g WEDEL.;PLN;1,32;23;SZT;WEDEL
0201081A;59012504;BAT. BAJECZNY 45g WEDEL.;PLN;1,89;23;SZT;WEDEL
0201111;59012535;BAT. PIERROT 45g WEDEL.;PLN;1,14;23;SZT;WEDEL
0201111A;59012535;05 BAT. PIERROT 45g WEDEL.;PLN;0,53;23;SZT;WEDEL
0201112;59015880;BAT. SZKOLNY 38g WEDEL.;PLN;0,69;23;SZT;WEDEL
0201121;59015880;BAT. PANNA COTTA 36,5g WEDEL.;PLN;1,21;23;SZT;WEDEL
0201122;59015880;BAT. TIRAMISU 36,5g WEDEL.;PLN;1,21;23;SZT;WEDEL
0201138;59090441;BAT. na dobre MALINOWY 34g WEDEL.;PLN;1,83;23;SZT;WEDEL
0201139;59090458;BAT. na dobre OWOCOWY 34g WEDEL.;PLN;1,83;23;SZT;WEDEL
0201141;59054221;BAT. OKI! mlecz.-truskawkowy 27g WEDEL.;PLN;0,53;23;SZT;WEDEL
0201142;59054214;BAT. OKI! z ziarnami 27g WEDEL.;PLN;0,88;23;SZT;WEDEL
0201145;59015881;BAT. karmelove MLECZNY 40g WEDEL.;PLN;1,32;23;SZT;WEDEL
0201146;59015881;BAT. karmelove ORZECHOWY 40g WEDEL.;PLN;1,23;23;SZT;WEDEL
0201149;59015880;CZEKOTUBKA 50g WEDEL.;PLN;3,19;23;SZT;WEDEL
0201150;59015880;CZEKOTUBKA KARMELOWE 50g WEDEL.;PLN;1,26;23;SZT;WEDEL
0201151;59015880;CZEKOTUBKA MLECZNA 50g WEDEL.;PLN;2,2;23;SZT;WEDEL
0201152;59015880;CZEKOTUBKA STRZELAJĄCA 50g WEDEL.;PLN;2,11;23;SZT;WEDEL
0201161;59088462;BAT. ptasie mleczko ŚMIETANA 26g WEDEL.;PLN;1,35;23;SZT;WEDEL
0201162;59088455;BAT. ptasie mleczko WANILIA 26g WEDEL.;PLN;1,35;23;SZT;WEDEL
0201201;59015880;CHAŁWA WANILIOWA 50g WEDEL.;PLN;2,64;23;SZT;WEDEL
0201202;59015880;CHAŁWA WANILIOWA 100g WEDEL.;PLN;3,11;23;SZT;WEDEL
0201202A;0;09 chałwa waniliowa 100g WEDEL.;PLN;1,75;23;SZT;WEDEL
0201203;59015880;CHAŁWA WANILIOWA 250g WEDEL.;PLN;11,73;23;SZT;WEDEL
0201221;59015881;CHAŁWA BAKALIOWA 50g WEDEL.;PLN;1,99;23;SZT;WEDEL
0201222;59015880;CHAŁWA WANIL. Z KAKAO I BAKAL. 250g WEDEL.;PLN;7,39;23;SZT;WEDEL
0201222A;59015880;11 chałwa wanil. z kakao i bakal. 250g WEDEL.;PLN;2,99;23;SZT;WEDEL
0201241;59015880;CHAŁWA Z ORZECHAMI 50g WEDEL.;PLN;1,99;23;SZT;WEDEL
0201261;59015880;CHAŁWA KAKAOWO-WANILIOWA 50g WEDEL.;PLN;1,99;23;SZT;WEDEL
0201301;59015880;SEZAMKI AHA klasyczne 27,2g WEDEL.;PLN;1,42;23;SZT;WEDEL
0201311;59079118;BAT. tak prosto GORZKA CZ.+ORZECHY,ZBOŻ. 30g WEDEL.;PLN;1,48;23;SZT;WEDEL
0201312;59079101;BAT. tak prosto GORZKA CZ.+ŻURAWINA 30g WEDEL.;PLN;1,48;23;SZT;WEDEL
0201313;59079125;BAT. tak prosto GORZKA CZ.+ŚLIWKA,MUSLI 30g WEDEL.;PLN;1,48;23;SZT;WEDEL
0201318;59079095;BAT. tak prosto SEZAM+DYNIA,MIÓD 36g WEDEL.;PLN;1,48;23;SZT;WEDEL
0201319;59079088;BAT. tak prosto SEZAM+SŁONECZNIK,MIÓD 36g WEDEL.;PLN;1,48;23;SZT;WEDEL
0201401;59015880;BAT. paluszek PTASIE MLECZKO WANILIOWE 52,7g WEDEL.;PLN;2,13;23;SZT;WEDEL
0201402;59015880;BAT. paluszek PTASIE MLECZKO ŚMIETANKOWE w mlecznej 49g WEDEL.;PLN;1,65;23;SZT;WEDEL
0201404;59015882;BAT. pa PTASIE ML. EKSTRA MLECZNE 52,7g WEDEL.;PLN;1,89;23;SZT;WEDEL
0201501;59015880;MAGURA BISZKOPT KAKAOWY Z NADZ. ML. 38g WEDEL.;PLN;0,87;23;SZT;WEDEL
0201501A;59015881;gratis! DIS. 20sztx38g magura biszkopt kakaowy z nadz. ml. WEDEL.;PLN;0,01;23;SZT;WEDEL
0201501AA;59015880;S** MAGURA BISZKOPT KAKAOWY Z NADZ. ML. 38g WEDEL.;PLN;0,86;23;SZT;WEDEL
0201502;59015880;MAGURA BISZKOPT Z NADZ. KAKAOWYM 38g WEDEL.;PLN;0,87;23;SZT;WEDEL
0201510;59015880;DELCINO - MLECZNE 38g WEDEL.;PLN;0,99;23;SZT;WEDEL
0201510A;59015880;06 delcino - mleczny 38g WEDEL.;PLN;0,73;23;SZT;WEDEL
0201511;59015880;DELCINO - KAKAOWE 38g WEDEL.;PLN;0,99;23;SZT;WEDEL
0201511A;59015880;06 delcino - kakao 38g WEDEL.;PLN;0,73;23;SZT;WEDEL
0201998;0;STEND BAT. PAWEŁEK TOFFI 45g WEDEL.;PLN;0,55;23;SZT;WEDEL
0201999;59015882;ZEST. BATONÓW (6x24szt) 6,48kg WEDEL;PLN;147;23;SZT;WEDEL
0202001;59015880;BOMB. PASJONATA MLECZ. 201g WEDEL.;PLN;12,62;23;SZT;WEDEL
0202002;59015880;BOMB. PASJONATA MLECZ.299g WEDEL.;PLN;15,68;23;SZT;WEDEL
0202011;59015880;BOMB. PRALINY Z NADZ. KAWOWYM 100g WEDEL.;PLN;10,4;23;SZT;WEDEL
0202015;59015884;BOMB. NADZIANE CZEKOLADKI 114g WEDEL.;PLN;11,55;23;SZT;WEDEL
0202021;59015880;BOMB. PASJ. DESER.201g WEDEL.;PLN;9,59;23;SZT;WEDEL
0202022;59015880;BOMB. PASJ. DESER.299g WEDEL.;PLN;14,2;23;SZT;WEDEL
0202031;59015880;00 BOMB. praliny toffe&peanuts 136g WEDEL.;PLN;4,74;23;SZT;WEDEL
