ID_ASO;DATA_STANU;STAN;ID_JED;ID_PROD;WART_NETTO;ID_WALUTA
0153012;04.02.2024;0;SZT;NESTLE;0;PLN
0201000;04.02.2024;5786;SZT;WEDEL;7001,06;PLN
0201000A;04.02.2024;0;SZT;WEDEL;0;PLN
0201001;04.02.2024;0;SZT;WEDEL;0;PLN
0201001A;04.02.2024;0;SZT;WEDEL;0;PLN
0201002;04.02.2024;0;SZT;WEDEL;0;PLN
0201003;04.02.2024;1236;SZT;WEDEL;2088,84;PLN
0201003A;04.02.2024;0;SZT;WEDEL;0;PLN
0201005;04.02.2024;1152;SZT;WEDEL;1946,88;PLN
0201005A;04.02.2024;0;SZT;WEDEL;0;PLN
0201006;04.02.2024;0;SZT;WEDEL;0;PLN
0201007;04.02.2024;0;SZT;WEDEL;0;PLN
0201008;04.02.2024;0;SZT;WEDEL;0;PLN
0201009;04.02.2024;0;SZT;WEDEL;0;PLN
0201010;04.02.2024;0;SZT;WEDEL;0;PLN
0201011;04.02.2024;0;SZT;WEDEL;0;PLN
0201012;04.02.2024;0;SZT;WEDEL;0;PLN
0201013;04.02.2024;0;SZT;WEDEL;0;PLN
0201014;04.02.2024;0;SZT;WEDEL;0;PLN
0201021;04.02.2024;0;SZT;WEDEL;0;PLN
0201051;04.02.2024;1782;SZT;WEDEL;2940,3;PLN
0201052;04.02.2024;0;SZT;WEDEL;0;PLN
0201053;04.02.2024;0;SZT;WEDEL;0;PLN
0201054;04.02.2024;48;SZT;WEDEL;102,72;PLN
0201055;04.02.2024;0;SZT;WEDEL;0;PLN
0201081;04.02.2024;2805;SZT;WEDEL;3702,6;PLN
0201081A;04.02.2024;0;SZT;WEDEL;0;PLN
0201111;04.02.2024;0;SZT;WEDEL;0;PLN
0201111A;04.02.2024;0;SZT;WEDEL;0;PLN
0201112;04.02.2024;0;SZT;WEDEL;0;PLN
0201121;04.02.2024;0;SZT;WEDEL;0;PLN
0201122;04.02.2024;0;SZT;WEDEL;0;PLN
0201138;04.02.2024;0;SZT;WEDEL;0;PLN
0201139;04.02.2024;0;SZT;WEDEL;0;PLN
0201141;04.02.2024;0;SZT;WEDEL;0;PLN
0201142;04.02.2024;0;SZT;WEDEL;0;PLN
0201145;04.02.2024;0;SZT;WEDEL;0;PLN
0201146;04.02.2024;0;SZT;WEDEL;0;PLN
0201149;04.02.2024;0;SZT;WEDEL;0;PLN
0201150;04.02.2024;0;SZT;WEDEL;0;PLN
0201151;04.02.2024;0;SZT;WEDEL;0;PLN
0201152;04.02.2024;0;SZT;WEDEL;0;PLN
0201161;04.02.2024;0;SZT;WEDEL;0;PLN
0201162;04.02.2024;0;SZT;WEDEL;0;PLN
0201201;04.02.2024;1300;SZT;WEDEL;3432;PLN
0201202;04.02.2024;0;SZT;WEDEL;0;PLN
0201202A;04.02.2024;0;SZT;WEDEL;0;PLN
0201203;04.02.2024;31;SZT;WEDEL;363,63;PLN
0201221;04.02.2024;0;SZT;WEDEL;0;PLN
0201222;04.02.2024;0;SZT;WEDEL;0;PLN
0201222A;04.02.2024;0;SZT;WEDEL;0;PLN
0201241;04.02.2024;0;SZT;WEDEL;0;PLN
0201261;04.02.2024;0;SZT;WEDEL;0;PLN
0201301;04.02.2024;640;SZT;WEDEL;908,8;PLN
0201311;04.02.2024;0;SZT;WEDEL;0;PLN
0201312;04.02.2024;0;SZT;WEDEL;0;PLN
0201313;04.02.2024;0;SZT;WEDEL;0;PLN
0201318;04.02.2024;0;SZT;WEDEL;0;PLN
0201319;04.02.2024;0;SZT;WEDEL;0;PLN
0201401;04.02.2024;0;SZT;WEDEL;0;PLN
0201402;04.02.2024;0;SZT;WEDEL;0;PLN
0201404;04.02.2024;0;SZT;WEDEL;0;PLN
0201501;04.02.2024;0;SZT;WEDEL;0;PLN
0201501A;04.02.2024;0;SZT;WEDEL;0;PLN
0201501AA;04.02.2024;0;SZT;WEDEL;0;PLN
0201502;04.02.2024;0;SZT;WEDEL;0;PLN
0201510;04.02.2024;0;SZT;WEDEL;0;PLN
0201510A;04.02.2024;0;SZT;WEDEL;0;PLN
0201511;04.02.2024;0;SZT;WEDEL;0;PLN
0201511A;04.02.2024;0;SZT;WEDEL;0;PLN
0201998;04.02.2024;0;SZT;WEDEL;0;PLN
0201999;04.02.2024;0;SZT;WEDEL;0;PLN
0202001;04.02.2024;0;SZT;WEDEL;0;PLN
0202002;04.02.2024;0;SZT;WEDEL;0;PLN
0202011;04.02.2024;0;SZT;WEDEL;0;PLN
0202015;04.02.2024;123;SZT;WEDEL;1420,65;PLN
0202021;04.02.2024;0;SZT;WEDEL;0;PLN
0202022;04.02.2024;0;SZT;WEDEL;0;PLN
0202031;04.02.2024;0;SZT;WEDEL;0;PLN
0202032;04.02.2024;0;SZT;WEDEL;0;PLN
0202041;04.02.2024;0;SZT;WEDEL;0;PLN
0202042;04.02.2024;0;SZT;WEDEL;0;PLN
0202045;04.02.2024;0;SZT;WEDEL;0;PLN
0202047;04.02.2024;0;SZT;WEDEL;0;PLN
0202061;04.02.2024;0;SZT;WEDEL;0;PLN
0202062;04.02.2024;0;SZT;WEDEL;0;PLN
0202063;04.02.2024;0;SZT;WEDEL;0;PLN
