ID_PLT;NAZWA;ID_KRAJ;MIASTO;KOD;ULICA;NR_LOK;NIP
3;"ZAKŁAD INSTALACJI PRZEMY SŁOWO-BUDOWLANYCH ""INGRUD"" TADEUSZ RYBIŃSKI";PL;Grudziądz;86300;KARABINIERÓW 4;Brak;8761003536
5;AMBER PIOTR AMBRUSZKIEWICZ;PL;Kwidzyn;82500;TORUŃSKA 10;Brak;5581742615
6;HYDRO VACUUM S.A.;PL;Grudziądz;86300;DROGA JEZIORNA 8;Brak;8760203813
7;3 % ****FIRMA HANDLOWO-USŁUGOWA GRUSZCZYŃSKI LESZEK;PL;SUSZ;14240;PIASTOWSKA 28;Brak;5811055055
9;****ZESPÓŁ SZKÓŁ W KURZĘTNIKU;PL;KURZĘTNIK;13306;GRUNWALDZKA 37;Brak;8771456831
10;SPOŁEM  POWSZECHNA SPÓŁDZELNIA SPOŻYWCÓW;PL;GRUDZIĄDZ;86300;REJA 6;Brak;8760205108
11;URZĄD GMINY GRUDZIĄDZ;PL;Grudziądz;86300;WYBICKIEGO 38;Brak;8761652499
12;"F.H.U. IWONA ZYGARLICKA SKLEP SPOŻYWCZO-PRZEMYSŁOWY ""PROMYK""";PL;Wąbrzeźno;87200;GRUDZIĄDZKA 50;Brak;8781256128
13;F.H.U. SKLEP DUO;PL;Wąbrzeźno;87200;ŻEROMSKIEGO 21 A;Brak;8781256128
15;"*****Z.P.H.U. ""PROFIT"" JANINA BĄK-MENCEL UL.TOW.JASZCZURCZEGO 5 87-200 WĄBRZEŹNO";PL;BRODNICA;87300;SKLEP FIRMOWY UL.KAMIONKI 13;Brak;8780005252
16;keeeper sp. z o.o.;PL;BYDGOSZCZ;85810;MOKRA 3;Brak;5540236045
17;MAGDALENA SWOROWSKA;PL;Grudziądz;86300;LEGIONÓW 17;Brak;8761391395
18;****HALINA PRZYSOWA SKLEP SPOŻYWCZY ,,AMBIT'' UL.GRUDZIĄDZKA 36;PL;KWIDZYN;82500;BRONIEWSKIEGO 2/69;69;5810013089
19;"HANDEL ARTYKUŁAMI SPOŻYWCZYMI SKLEP ""MIRAS"" JACEK KRUCZKOWSKI";PL;GRUDZIĄDZ;86300;CHEŁMIŃSKA 80;Brak;8760201174
21;"SKLEP ROLNO-SPOŻYWCZY ""KLEKS"" HENRYK SZRAM";PL;GRUDZIĄDZ;86300;ŚNIADECKICH 26;Brak;8760202624
22;"PRZEDSIĘBIORSTWO ""SOLGRUD"" SP. Z O.O.";PL;Grudziądz;86300;OLCHOWA 4;Brak;8760103106
23;FIRMA PROD-HANDLOWA K. KŁOSOWSKI SKLEP GRUDZIĄDZ ul.WYBICKIEGO;PL;IŁAWA;14200;PIEKARSKA 7A;Brak;7441369347
24;RESLER PLUS P.H.U. ŁUCJA RESLER;PL;Chojnice;89600;MŁYŃSKA 7;Brak;5550007300
26;"GMINNA SPÓŁDZIELNIA  ""SAMOPOMOC CHŁOPSKA"" W GARDEI SKLEP 40";PL;GARDEJA;85520;GARDEJA;Brak;5810004883
26;"GMINNA SPÓŁDZIELNIA  ""SAMOPOMOC CHŁOPSKA"" W GARDEI";PL;GARDEJA;82520;GARDEJA;Brak;5810004883
26;"GMINNA SPÓŁDZIELNIA  ""SAMOPOMOC CHŁOPSKA"" W GARDEI - SKLEP  ""SEZAMIK""";PL;GARDEJA;82520;GARDEJA;Brak;5810004883
28;WŁADYSŁAWA KARECKA SKLEP SPOŻYWCZO-PRZEMYSŁOWY;PL;NOWE;86170;TCZEWSKA 46;Brak;5591001783
29;SKLEP SPOŻYWCZO-PRZEMYSŁOWY AGNIESZKA HELLAK;PL;Grudziądz 4;86302;SOSNÓWKA;Brak;8761782517
30;SKLEP SPOŻYWCZO-PRZEMYSŁOWY JAN TRZECIAK;PL;OSIE;86150;SZKOLNA 1;Brak;5591565497
31;TADEUSZ SANKIEWICZ SKLEP SPOŻYWCZO-PRZEMYSŁOWY;PL;SZTUM;82400;MICKIEWICZA 16 B;Brak;5791004970
32;SKLEP WARZYWNO-OWOCOWY  BUDZIŃSKA JUSTYNA;PL;Grudziądz;86300;LEGIONÓW 2;Brak;8761671491
33;SKLEP SPOŻYWCZO-PRZEMYSŁOWY JOLANTA POTORSKA;PL;GRUDZIĄDZ;86300;TCZEWSKA;Brak;8760202400
34;"***FIRMA HANDLOWO-USLUGOWA ""GRAŻA"" GRAŻYNA ISBRANDT";PL;PŁUŻNICA;87214;PŁUŻNICA;Brak;8751125002
35;FHU PLAST-BUD AGNIESZKA ŁUGOWSKA-KIKIEL SKLEP KOSYNIERÓW GD.;PL;Grudziądz;86300;KLASZTORNA 5;Brak;8761903145
36;"***SKLEP SPOŻYWCZY ""MINI MARKET"" GABRIELA STAJSZCZAK";PL;GRUDZIĄDZ;86300;BYDGOSKA 11;Brak;8761009160
37;MELAN EUGENIUSZ LANGA;PL;CHOCZEWO;84210;PIERWSZYCH OSADNIKÓW 10 A;Brak;5881005499
38;KUZIEMSKA KAZIMIERA SKLEP SPOŻYWCZO-PRZEMYSŁOWY;PL;MAŁA KARCZMA;83135;KOLONIA OSTROWICKA;Brak;5930105492
39;SPEK FIRMA HANDLOWO USŁUGOWA;PL;GDYNIA;81416;ALEJA ZWYCIĘSTWA 62/24;24;5861105855
40;FIRMA HANDLOWO-PRODUKCYJNO-USŁUGOWA EWA KRUSIŃSKA;PL;Jabłonowo Pom.;87330;KOLEJOWA 14;Brak;8741022536
41;MINI DELIKATESY;PL;ZUKOWO;83330;GDYŃSKA 24;Brak;5891226457
42;DELIKATESY s.c. PILACCY;PL;LUBICHOWO;83240;STAROGARDZKA 1;Brak;5921196957
761;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC  CHŁOPSKA"" SKLEP NR 25";PL;Pruszcz;86120;DWORCOWA 8;Brak;5590003596
761;"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC  CHŁOPSKA"" SKLEP NR 40 W ŁOWINKU";PL;Pruszcz;86120;ŁOWINEK;Brak;5590003596
45;McMIND C.H BATORY-GDYNIA;PL;GDYNIA;81366;10 LUTEGO 11;Brak;6451534830
46;SZKOŁA PODSTAWOWA IM.MIKOŁAJA KOPERNIKA;PL;BISKUPIEC;13340;GRUDZIĄDZKA 38;Brak;8771456995
47;KIOSK SZKOLNY HENRYK GWIZDAŁA;PL;KOTOMIERZ;86022;KOŚCIELNA 10;Brak;5541995988
48;SZWOCHA ALICJA  SKLEP SPOŻYWCZY;PL;PIASECZNO;83123;JELEŃ;Brak;5930004070
49;HANDEL HURTOWY I DETALICZNY KRYSTYNA PAUL GIEŁDA PAWILON 257;PL;Toruń;87100;KRASIŃSKIEGO 85/11;11;9561482768
50;"FIRMA USŁUGOWO- HANDLOWA ""AKAM"" ADAM WIŚNIEWSKI";PL;Grudziądz;86300;GROBLOWA 9;Brak;8760011002
51;SKLEP SPOŻYWCZO-PRZEMYSŁOWY ANDRZEJ OLSZEWSKI ZASKOCZ;PL;KSIĄŻKI;87222;ZASKOCZ;Brak;8781004183
52;P.P.H.U. WALICZEK 1990  SKLEP GRUBNO;PL;STOLNO;86212;STOLNO;Brak;8750008725
53;"***P.H.U. STACJA PALIW ""DUET"" M.ANACZKOWSKI , K.FILARSKI SPÓŁKA JAWNA";PL;IŁAWA;14200;LUBAWSKA 5;Brak;7440004589
54;EKO-MAS PRZETWÓRSTWO MIĘSNE WIESŁAW ROGOWSKI STARY FOLWARK;PL;Grudziądz;86300;MICKIEWICZA 49;Brak;8761669985
55;*****DOM POMOCY SPOŁECZNEJ NR 2;PL;GRUDZIĄDZ;86300;NADGÓRNA 30/32;32;8761747805
56;"FIRMA HANDLOWA ""PANDA LODOWA"" STEFAN SUMIŃSKI";PL;IŁAWA;14200;GRUDZIĄDZKA 39;Brak;8770000767
57;F.H.U. AMAR ANDRZEJ KWIECIEŃ;PL;NOWE MIASTO LUB.;13300;WYSPIŃSKIEGO 16;Brak;8771015914
58;"SKLEP SPOŻYWCZO-PRZEMYSLOWY ""IRENA"" IRENA KULA-KRAUSE";PL;ŁASIN;86320;NOWE MOSTY 13;Brak;8760012088
59;ŁUCZAK ANDRZEJ SKLEP SPOŻYWCZO-PRZEMYSLOWY;PL;Łysomice;87148;OSTASZEWO;Brak;9561183089
60;"FIRMA ""ROBER"" ROBERT WIDOMSKI";PL;Chełmża;87140;MICKIEWICZA 6/4;4;8791569142
61;EKO-MAS PRZETWÓRSTWO MIĘSNE WIESŁAW ROGOWSKI STARY FOLWARK;PL;Grudziądz;86300;WYBICKIEGO 44;Brak;8761669985
62;SKLEP KABANOSIK BARBARA BUDKA;PL;NOWE;86170;GDAŃSKA 23;Brak;5591433258
63;"SKLEPY ""IMPULS"" FIK SYLWIA";PL;CHEŁMNO;86200;DWORCOWA 15;Brak;8750001019
